links_link,links_Grade
https://covid19-scoreboard.unacast.com/?view=county&fips=05119,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6037,F
https://covid19-scoreboard.unacast.com/?view=county&fips=04021,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12057,F
https://covid19-scoreboard.unacast.com/?view=county&fips=30013,D+
https://covid19-scoreboard.unacast.com/?view=county&fips=01101,F
https://covid19-scoreboard.unacast.com/?view=county&fips=53053,F
https://covid19-scoreboard.unacast.com/?view=county&fips=20173,F
https://covid19-scoreboard.unacast.com/?view=county&fips=38101,D-
https://covid19-scoreboard.unacast.com/?view=county&fips=13185,F
https://covid19-scoreboard.unacast.com/?view=county&fips=16039,D+
https://covid19-scoreboard.unacast.com/?view=county&fips=32003,D
https://covid19-scoreboard.unacast.com/?view=county&fips=31153,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12009,F
https://covid19-scoreboard.unacast.com/?view=county&fips=8041,F
https://covid19-scoreboard.unacast.com/?view=county&fips=13153,F
https://covid19-scoreboard.unacast.com/?view=county&fips=17163,F
https://covid19-scoreboard.unacast.com/?view=county&fips=37191,F
https://covid19-scoreboard.unacast.com/?view=county&fips=45085,F
https://covid19-scoreboard.unacast.com/?view=county&fips=48485,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40109,F
https://covid19-scoreboard.unacast.com/?view=county&fips=06095,F
https://covid19-scoreboard.unacast.com/?view=county&fips=12005,F
https://covid19-scoreboard.unacast.com/?view=county&fips=40047,F
https://covid19-scoreboard.unacast.com/?view=county&fips=6083,F
https://covid19-scoreboard.unacast.com/?view=county&fips=29101,F
https://covid19-scoreboard.unacast.com/?view=county&fips=39057,F
