date,state,positive,lastUpdateEt,death,dateChecked,totalTestsViral,fips,positiveIncrease,totalTestResultsIncrease,deathIncrease
20200906,UT,54660.0,9/6/2020 10:53,422.0,2020-09-06T10:53:00Z,858664.0,49,388,4770,2
20200906,VA,126926.0,9/5/2020 17:00,2678.0,2020-09-05T17:00:00Z,,51,1199,12528,1
20200906,VI,1181.0,9/6/2020 07:03,17.0,2020-09-06T07:03:00Z,17340.0,78,14,114,1
20200906,VT,1648.0,9/5/2020 23:39,58.0,2020-09-05T23:39:00Z,,50,1,975,0
20200906,WA,76836.0,9/5/2020 02:59,1953.0,2020-09-05T02:59:00Z,,53,501,16387,0
20200906,WI,86353.0,9/6/2020 00:00,1176.0,2020-09-06T00:00:00Z,,55,890,5506,0
20200906,WV,11412.0,9/5/2020 23:59,246.0,2020-09-05T23:59:00Z,458180.0,54,123,4897,3
20200906,WY,4032.0,9/6/2020 11:25,42.0,2020-09-06T11:25:00Z,111391.0,56,26,26,0
20200905,AK,6567.0,9/5/2020 03:59,42.0,2020-09-05T03:59:00Z,385002.0,2,98,3065,2
20200905,AL,131803.0,9/5/2020 11:00,2275.0,2020-09-05T11:00:00Z,966497.0,1,1410,7560,9
20200905,AR,64690.0,9/5/2020 17:50,882.0,2020-09-05T17:50:00Z,765411.0,5,515,17000,9
20200905,AS,0.0,8/15/2020 00:00,0.0,2020-08-15T00:00:00Z,1514.0,60,0,0,0
20200905,AZ,205516.0,9/5/2020 00:00,5207.0,2020-09-05T00:00:00Z,1250981.0,4,835,15847,36
20200905,CA,727239.0,9/5/2020 02:59,13643.0,2020-09-05T02:59:00Z,11916323.0,6,4956,119353,153
20200905,CO,58655.0,9/4/2020 01:59,1866.0,2020-09-04T01:59:00Z,,8,368,10961,5
20200905,CT,53365.0,9/3/2020 20:30,4468.0,2020-09-03T20:30:00Z,1235514.0,9,0,0,0
20200905,DC,14238.0,9/4/2020 00:00,611.0,2020-09-04T00:00:00Z,,11,52,4513,0
20200905,DE,17892.0,9/4/2020 18:00,608.0,2020-09-04T18:00:00Z,,10,140,1990,2
20200905,FL,643867.0,9/4/2020 23:59,11963.0,2020-09-04T23:59:00Z,6579765.0,12,3656,23800,60
20200905,GA,281548.0,9/5/2020 02:50,5977.0,2020-09-05T02:50:00Z,2460729.0,13,2194,28604,46
20200905,GU,1671.0,9/5/2020 09:20,15.0,2020-09-05T09:20:00Z,40110.0,66,52,629,1
20200905,HI,9473.0,9/4/2020 18:00,81.0,2020-09-04T18:00:00Z,294102.0,15,271,7669,2
20200905,IA,67642.0,9/5/2020 00:00,1161.0,2020-09-05T00:00:00Z,,19,1028,6176,20
20200905,ID,33196.0,9/4/2020 19:00,382.0,2020-09-04T19:00:00Z,263183.0,16,269,1918,10
20200905,IL,250105.0,9/5/2020 00:00,8385.0,2020-09-05T00:00:00Z,4371876.0,17,2806,61935,23
20200905,IN,98961.0,9/4/2020 23:59,3362.0,2020-09-04T23:59:00Z,1518612.0,18,1077,11651,12
20200905,KS,45220.0,9/4/2020 10:00,481.0,2020-09-04T10:00:00Z,,20,0,0,0
20200905,KY,52464.0,9/5/2020 00:00,993.0,2020-09-05T00:00:00Z,866842.0,21,787,19379,6
20200905,LA,152369.0,9/4/2020 13:00,5035.0,2020-09-04T13:00:00Z,,22,0,0,0
20200905,MA,122196.0,9/5/2020 08:00,9116.0,2020-09-05T08:00:00Z,2660462.0,25,438,20811,16
20200905,MD,111607.0,9/5/2020 10:00,3796.0,2020-09-05T10:00:00Z,2047516.0,24,776,12990,7
20200905,ME,4667.0,9/4/2020 23:59,134.0,2020-09-04T23:59:00Z,291505.0,23,35,5372,0
20200905,MI,117191.0,9/5/2020 00:00,6806.0,2020-09-05T00:00:00Z,2951815.0,26,896,41021,8
20200905,MN,79880.0,9/4/2020 17:00,1903.0,2020-09-04T17:00:00Z,1577466.0,27,914,9493,4
20200905,MO,92202.0,9/5/2020 00:00,1639.0,2020-09-05T00:00:00Z,1360462.0,29,1987,16571,77
20200905,MP,58.0,9/1/2020 00:00,2.0,2020-09-01T00:00:00Z,17626.0,69,1,1,0
20200905,MS,86478.0,9/4/2020 00:00,2569.0,2020-09-04T00:00:00Z,592831.0,28,539,9995,11
20200905,MT,8164.0,9/5/2020 01:59,116.0,2020-09-05T01:59:00Z,261050.0,30,145,1062,2
20200905,NC,175815.0,9/5/2020 12:00,2889.0,2020-09-05T12:00:00Z,2410871.0,37,1561,21775,50
20200905,ND,13334.0,9/5/2020 01:59,125.0,2020-09-05T01:59:00Z,500109.0,38,361,1743,0
20200905,NE,35661.0,9/4/2020 20:10,404.0,2020-09-04T20:10:00Z,,31,192,1932,0
20200905,NH,7424.0,9/5/2020 09:00,432.0,2020-09-05T09:00:00Z,346063.0,33,56,1482,0
20200905,NJ,193747.0,9/5/2020 00:00,15985.0,2020-09-05T00:00:00Z,2964722.0,34,325,325,7
20200905,NM,25902.0,9/4/2020 17:50,794.0,2020-09-04T17:50:00Z,,35,90,5248,3
20200905,NV,71102.0,9/5/2020 02:59,1388.0,2020-09-05T02:59:00Z,885384.0,32,390,4189,13
20200905,NY,438772.0,9/4/2020 23:59,25350.0,2020-09-04T23:59:00Z,,36,801,99761,2
20200905,OH,129785.0,9/5/2020 14:00,4256.0,2020-09-05T14:00:00Z,2371204.0,39,1341,28325,8
20200905,OK,63187.0,9/5/2020 00:00,850.0,2020-09-05T00:00:00Z,939500.0,40,1147,8878,4
20200905,OR,27856.0,9/5/2020 03:01,480.0,2020-09-05T03:01:00Z,,41,255,3178,5
20200905,PA,138625.0,9/5/2020 12:00,7760.0,2020-09-05T12:00:00Z,2378455.0,42,963,13165,18
20200905,PR,34492.0,9/5/2020 00:00,464.0,2020-09-05T00:00:00Z,310546.0,72,251,251,9
20200905,RI,22243.0,9/4/2020 12:00,1055.0,2020-09-04T12:00:00Z,,44,0,0,0
20200905,SC,124289.0,9/4/2020 23:59,2877.0,2020-09-04T23:59:00Z,991951.0,45,964,11943,31
20200905,SD,14889.0,9/4/2020 14:00,173.0,2020-09-04T14:00:00Z,204462.0,46,293,1614,3
20200905,TN,162362.0,9/5/2020 15:00,1862.0,2020-09-05T15:00:00Z,2306032.0,47,1765,27090,25
20200905,TX,635315.0,9/5/2020 16:40,13408.0,2020-09-05T16:40:00Z,5183948.0,48,4486,64195,177
20200905,UT,54272.0,9/5/2020 11:06,420.0,2020-09-05T11:06:00Z,851482.0,49,433,4249,1
20200905,VA,125727.0,9/4/2020 17:00,2677.0,2020-09-04T17:00:00Z,,51,948,17728,15
20200905,VI,1167.0,9/5/2020 05:13,16.0,2020-09-05T05:13:00Z,17231.0,78,17,271,0
20200905,VT,1647.0,9/4/2020 23:39,58.0,2020-09-04T23:39:00Z,,50,5,890,0
20200905,WA,76335.0,9/4/2020 02:59,1953.0,2020-09-04T02:59:00Z,,53,479,16001,8
20200905,WI,85463.0,9/5/2020 00:00,1176.0,2020-09-05T00:00:00Z,,55,999,8074,15
20200905,WV,11289.0,9/4/2020 23:59,243.0,2020-09-04T23:59:00Z,453285.0,54,252,4570,0
20200905,WY,4006.0,9/5/2020 11:21,42.0,2020-09-05T11:21:00Z,111391.0,56,17,17,0
20200904,AK,6469.0,9/4/2020 03:59,40.0,2020-09-04T03:59:00Z,381937.0,2,130,4001,0
20200904,AL,130393.0,9/4/2020 11:00,2266.0,2020-09-04T11:00:00Z,959309.0,1,1108,4439,33
20200904,AR,64175.0,9/4/2020 14:34,873.0,2020-09-04T14:34:00Z,747317.0,5,1094,9993,12
20200904,AS,0.0,8/15/2020 00:00,0.0,2020-08-15T00:00:00Z,1514.0,60,0,0,0
20200904,AZ,204681.0,9/4/2020 00:00,5171.0,2020-09-04T00:00:00Z,1235142.0,4,728,14069,41
20200904,CA,722283.0,9/4/2020 02:59,13490.0,2020-09-04T02:59:00Z,11796970.0,6,5106,133046,163
20200904,CO,58287.0,9/3/2020 01:59,1861.0,2020-09-03T01:59:00Z,,8,268,8294,8
20200904,CT,53365.0,9/3/2020 20:30,4468.0,2020-09-03T20:30:00Z,1235514.0,9,156,19442,0
20200904,DC,14186.0,9/3/2020 00:00,611.0,2020-09-03T00:00:00Z,,11,51,4592,2
20200904,DE,17752.0,9/3/2020 18:00,606.0,2020-09-03T18:00:00Z,,10,99,2094,0
20200904,FL,640211.0,9/3/2020 23:59,11903.0,2020-09-03T23:59:00Z,6538991.0,12,3198,22311,103
20200904,GA,279354.0,9/4/2020 14:50,5931.0,2020-09-04T14:50:00Z,2432125.0,13,2066,21460,63
20200904,GU,1619.0,9/4/2020 06:00,14.0,2020-09-04T06:00:00Z,40110.0,66,59,622,1
20200904,HI,9202.0,9/3/2020 05:59,79.0,2020-09-03T05:59:00Z,284177.0,15,211,6291,4
20200904,IA,66614.0,9/4/2020 00:00,1141.0,2020-09-04T00:00:00Z,,19,1091,7577,6
20200904,ID,32927.0,9/3/2020 19:00,372.0,2020-09-03T19:00:00Z,261289.0,16,263,2327,0
20200904,IL,247299.0,9/4/2020 00:00,8362.0,2020-09-04T00:00:00Z,4309941.0,17,5594,149499,38
20200904,IN,97884.0,9/3/2020 23:59,3350.0,2020-09-03T23:59:00Z,1497703.0,18,1030,14389,18
20200904,KS,45220.0,9/4/2020 10:00,481.0,2020-09-04T10:00:00Z,,20,1280,7958,23
20200904,KY,51677.0,9/4/2020 00:00,987.0,2020-09-04T00:00:00Z,847609.0,21,792,8016,11
20200904,LA,152369.0,9/4/2020 13:00,5035.0,2020-09-04T13:00:00Z,,22,822,15545,14
20200904,MA,121758.0,9/4/2020 08:00,9100.0,2020-09-04T08:00:00Z,2600312.0,25,212,17552,23
20200904,MD,110831.0,9/4/2020 10:00,3789.0,2020-09-04T10:00:00Z,2019324.0,24,819,13860,11
20200904,ME,4632.0,9/3/2020 23:59,134.0,2020-09-03T23:59:00Z,286135.0,23,15,5550,1
20200904,MI,116295.0,9/4/2020 00:00,6798.0,2020-09-04T00:00:00Z,2910912.0,26,1053,28530,7
20200904,MN,78966.0,9/3/2020 17:00,1899.0,2020-09-03T17:00:00Z,1558831.0,27,843,9919,10
20200904,MO,90215.0,9/4/2020 00:00,1562.0,2020-09-04T00:00:00Z,1339671.0,29,1605,13652,17
20200904,MP,57.0,9/1/2020 00:00,2.0,2020-09-01T00:00:00Z,17626.0,69,0,0,0
20200904,MS,85939.0,9/3/2020 00:00,2558.0,2020-09-03T00:00:00Z,582297.0,28,823,823,22
20200904,MT,8019.0,9/4/2020 01:59,114.0,2020-09-04T01:59:00Z,259988.0,30,148,4328,3
20200904,NC,174254.0,9/4/2020 12:10,2839.0,2020-09-04T12:10:00Z,2389096.0,37,2045,41259,36
20200904,ND,12973.0,9/4/2020 01:59,125.0,2020-09-04T01:59:00Z,492770.0,38,344,1857,1
20200904,NE,35469.0,9/3/2020 20:30,404.0,2020-09-03T20:30:00Z,,31,474,4627,5
20200904,NH,7368.0,9/4/2020 09:00,432.0,2020-09-04T09:00:00Z,341985.0,33,21,1388,0
20200904,NJ,193422.0,9/4/2020 00:00,15978.0,2020-09-04T00:00:00Z,2964722.0,34,449,34707,7
20200904,NM,25812.0,9/3/2020 17:50,791.0,2020-09-03T17:50:00Z,,35,200,5837,1
